order_id,order_date,customer_id,country,product_id,quantity,unit_price,discount_pct,status
1,2023-04-25,54675,France,2196,6,149.95,30.27,Shipped
2,2022-06-20,10125,austria,268,6,144.87,0.0,COMPLETED
3,2020-12-11,33966,poland,964,5,191.27,,DONE
4,2019/06/15,9665,italy,1637,2,174.3,26.53,COMPLETED
5,2022-08-19,21017,slovak,589,3,159.52,19.85,Done
6,2022-06-18,17359,Austria,1473,2,101.93,0.06,Shipped
7,2016-06-08,10151,france,800,7,99.1,1.5,shipped
8,2022-12-13,47515,ES,896,3,270.3,,completed
9,2015-11-05,36633,FR,2329,2,147.97,7.33,done
10,2020-01-03,39728,GER,744,2,156.56,17.73,Done
11,2021-07-07,18135,CZ,1272,4,237.43,10.03,complete
12,2023/04/09,41573,Holland,1308,4,251.62,17.9,Done
13,10-09-2019,38748,Italy,1031,4,47.12,23.63,done
14,2017-06-07,975,ES,1898,2,118.69,4.99,COMPLETED
15,08-12-2019,46361,pl,667,3,179.51,,Done
16,2017/07/25,30091,SLOVAKIA,1512,2,241.44,1.1,Done
17,2020-05-07,10524,IT,447,4,196.38,0.0,Shipped
18,2019/09/08,36178,CZ,866,3,281.88,,CANCELLED
19,2022-11-11,35883,SE,2250,3,134.2,21.17,Done
20,2017-06-19,49604,ES,2059,4,150.78,21.02,COMPLETED
21,2016-12-31,1927,Slovakia,1179,3,207.58,20.1,Shipped
22,2019/10/22,51074,Czechia,1247,3,68.11,2.36,Shipped
23,2015/07/27,18210,Spain,1437,1,114.41,,shipped
24,2017-05-09,2055,slovak,1662,5,361.21,16.46,Shipped
25,2018-08-07,25973,czechia,521,4,266.49,22.45,complete
26,2019-12-01,35629,slovak,2236,1,256.69,2.89,complete
27,04-10-2017,15603,Czech Republic,1685,1,163.51,10.03,Done
28,31-08-2020,12007,Holland,1477,3,77.59,3.14,COMPLETED
29,05-11-2023,30799,AT,593,4,181.26,0.0,COMPLETED
30,2020-07-02,41616,ES,2012,3,215.84,25.08,shipped
31,28-11-2017,31713,France,728,5,167.54,0.0,shipped
32,2015-09-06,36997,France,1063,3,187.61,8.5,DONE
33,06-06-2016,29727,ES,1380,3,79.56,20.39,Completed
34,2020-09-02,24941,pl,114,3,136.92,0.81,done
35,2021-11-20,22521,italy,273,4,336.11,4.79,shipped
36,2015/07/24,4915,france,294,1,174.88,0.0,COMPLETED
37,24/11/2016,41478,AT,743,5,197.45,12.65,CANCELLED
38,2018-03-29,36825,FR,915,2,116.42,12.16,Shipped
39,2018-04-01,51446,ES,64,3,121.65,15.57,done
40,23-08-2024,18564,italy,599,1,289.3,18.25,shipped
41,2017-01-17,12381,pl,1333,6,120.57,5.06,done
42,2015/09/08,50385,IT,1310,4,109.19,7.62,complete
43,2018-08-04,55692,IT,1538,2,118.64,11.78,Done
44,29-05-2016,18539,Deutschland,1893,5,120.52,13.55,complete
45,2016-04-28,56812,DE,2028,4,149.41,12.77,DONE
46,2019/02/04,40462,Polska,402,3,185.28,,Shipped
47,2018-01-30,28132,SK,952,4,137.66,0.0,Done
48,2015/12/11,4995,netherlands,1730,2,151.58,6.31,done
49,20-01-2021,25799,SE,160,2,245.16,28.92,complete
50,2020-01-09,21707,Sweden,967,7,278.05,,SHIP
51,2015/11/01,36775,FR,1987,4,137.67,6.18,SHIP
52,09-09-2023,35489,FR,1672,4,150.06,13.62,DONE
53,2017-11-22,1595,AT,174,2,381.45,7.27,Completed
54,03-09-2024,38720,Slovakia,1756,3,108.74,3.72,complete
55,2024-05-18,22316,spain,449,3,104.08,15.37,completed
56,2019-05-28,59674,Czech Republic,2025,4,196.75,25.54,SHIP
57,06/05/2017,15726,CZ,982,1,250.06,38.43,DONE
58,2023.05.31,18157,Germany,856,2,220.67,6.55,SHIP
59,2018/09/03,18030,Czech Republic,976,3,166.7,,Shipped
60,2016-09-11,53623,SLOVAKIA,1988,4,156.61,6.95,complete
61,2020/07/30,35507,SLOVAKIA,1425,1,206.85,8.91,shipped
62,,58005,germany,2130,2,226.52,,CANCELLED
63,2023-07-25,43191,Germany,616,4,295.97,0.0,Shipped
64,2022-05-09,51815,SE,2108,5,261.8,19.19,Completed
65,2023-10-29,42269,NL,2184,4,203.75,9.3,Shipped
66,2022/05/30,9574,SK,2013,3,228.27,19.4,SHIP
67,2021-06-27,6990,ES,1086,1,153.6,0.0,completed
68,2020/01/02,44672,ES,1538,4,144.34,18.79,Shipped
69,2024.11.30,12148,france,1132,3,376.51,10.3,Completed
70,26/08/2024,2673,IT,1582,1,242.02,,completed
71,21/07/2023,28401,GER,602,2,249.24,6.85,Completed
72,26/10/2022,45652,France,2390,4,126.88,0.71,completed
73,02-11-2020,43867,AT,593,3,160.86,9.6,completed
74,2017.08.28,28158,SK,1273,3,160.55,5.13,completed
75,27-10-2023,50711,Slovakia,395,4,252.27,15.75,DONE
76,2015-02-20,27109,FR,1941,1,168.85,3.68,completed
77,02-05-2017,53768,FR,1586,6,122.41,15.97,done
78,2019-01-18,59031,FR,781,4,91.11,15.08,Done
79,2020-11-26,58408,germany,2199,4,133.58,9.72,CANCELLED
80,01/09/2020,19866,SLOVAKIA,380,1,198.4,2.28,Done
81,2024-13-40,57105,austria,908,4,168.87,22.25,Shipped
82,23/01/2016,5886,czechia,1104,6,201.29,7.25,SHIP
83,2017/04/11,7355,Austria,1581,3,118.15,9.86,Shipped
84,2018.07.20,23144,Spain,1853,4,154.58,16.91,Completed
85,07-03-2015,51328,Austria,2493,3,125.02,8.45,DONE
86,2021-12-13,52775,SLOVAKIA,1744,2,309.05,9.45,DONE
87,2017-07-16,54976,sweden,928,4,148.37,0.0,Shipped
88,2018-07-30,15774,Netherlands,1116,3,91.3,6.49,done
89,2018-05-31,44023,france,619,5,187.35,,DONE
90,2020-02-26,12736,Italy,1598,2,183.33,7.92,Done
91,29-08-2023,37280,Czechia,1071,5,289.38,,completed
92,2016-07-22,32683,spain,2180,5,123.44,11.54,shipped
93,2024-13-40,54663,IT,2067,3,361.29,10.49,complete
94,2021-12-12,12282,POL,1060,5,330.64,23.17,Done
95,2015/07/04,34542,Holland,2436,2,86.14,2.8,SHIP
96,2023-05-12,12990,CZ,254,4,173.09,10.79,Done
97,2024-09-05,30628,SE,640,4,201.01,,Done
98,2021-02-04,11625,Deutschland,681,2,245.99,11.34,completed
99,2024-08-17,27289,SE,1725,2,145.92,1.08,shipped
100,2019-03-03,19799,italy,1664,5,100.9,18.66,SHIP
101,2019/03/11,3644,NL,749,3,207.66,8.07,shipped
102,29-01-2016,29499,Poland,1202,3,90.99,11.67,Done
103,2015-06-02,48614,GER,815,4,180.68,7.24,done
104,2017-07-05,34135,Austria,1786,4,187.22,7.12,SHIP
105,04-11-2019,40783,Sweden,2399,2,189.37,7.02,Done
106,2020-02-05,53230,sweden,2157,2,114.29,23.87,Shipped
107,2017-03-22,55696,pl,833,5,62.23,15.96,Done
108,2021-03-01,9819,Germany,1515,2,261.18,27.46,SHIP
109,2016-11-12,58736,Austria,1374,2,72.0,19.9,SHIP
110,2018-04-27,7072,Netherlands,940,3,116.21,0.0,Shipped
111,21/12/2016,24829,SLOVAKIA,762,2,105.89,2.59,Done
112,23-12-2021,50128,italy,1121,2,339.9,9.28,completed
113,2020-03-17,25623,Slovakia,2196,3,122.64,0.0,Shipped
114,2022-06-05,11551,Austria,978,1,89.03,34.19,Completed
115,19-08-2015,39322,Sweden,709,2,77.82,4.38,complete
116,2019/04/24,6047,Czech Republic,321,3,93.62,29.43,completed
117,2024.09.25,33243,italy,748,8,187.1,7.41,done
118,07-08-2015,23241,AT,1869,4,181.62,26.93,done
119,2019-03-26,16954,pl,1820,3,181.53,8.94,Done
120,2015-06-20,9786,slovak,952,3,151.31,11.26,COMPLETED
121,2016-07-12,55800,DE,1777,1,316.53,9.47,Completed
122,2019-09-08,48619,AT,1327,7,270.25,23.56,completed
123,2016-08-20,20319,ES,186,5,66.8,6.54,complete
124,2020-03-27,24003,Spain,2404,3,127.02,,Shipped
125,13-04-2024,33267,Germany,2371,4,416.5,29.95,Shipped
126,2017-01-02,27448,FR,294,1,244.12,11.74,CANCELLED
127,2016/02/03,32574,Deutschland,1117,2,83.08,9.94,complete
128,2023/04/24,2611,pl,955,3,361.33,0.0,COMPLETED
129,30-08-2019,34716,spain,335,3,107.97,15.12,Shipped
130,2023/11/17,46420,NL,584,5,222.06,13.19,DONE
131,2018-01-28,57684,Spain,2388,2,114.68,11.1,Done
132,2021-05-02,59692,Czechia,2377,2,247.45,0.0,CANCELLED
133,2024.04.15,47822,France,560,1,125.67,,complete
134,2016-10-12,468,ES,721,2,157.36,9.39,COMPLETED
135,2023-01-04,4301,Italy,541,1,277.1,4.81,Done
136,2021/05/18,38842,ES,2301,4,259.45,17.5,shipped
137,2023-03-03,42868,slovak,976,2,232.9,13.21,SHIP
138,08/10/2016,45417,Sweden,1116,2,67.98,25.06,done
139,2019-05-28,49164,italy,625,1,272.25,16.98,done
140,07-05-2016,5310,Italy,1211,2,220.16,11.43,Shipped
141,2024-08-29,7795,Slovakia,1242,3,284.08,0.0,shipped
142,2015-09-08,29768,Poland,365,2,156.9,13.35,DONE
143,2015/09/19,13861,poland,2252,1,97.57,12.99,done
144,2023-12-27,13400,Netherlands,1280,1,213.11,18.71,COMPLETED
145,2018-01-04,46911,Czechia,2108,5,226.0,13.59,SHIP
146,2020-12-24,34105,czechia,1517,3,127.49,0.49,shipped
147,30/11/2017,33215,netherlands,2481,3,304.02,0.0,complete
148,2021/07/20,21906,ES,2481,1,395.99,5.62,completed
149,12-12-2016,32003,ES,1946,4,256.2,4.03,Shipped
150,2019-08-25,21945,czechia,220,2,101.58,31.38,Completed
151,2020-05-25,7775,Spain,483,3,125.82,15.03,complete
152,2018-05-26,55785,Italy,806,5,211.5,14.07,COMPLETED
153,2017/07/30,24725,FR,1699,4,293.29,4.27,DONE
154,2016-06-19,55125,france,1827,5,219.9,10.15,Done
155,2022.01.29,5515,spain,1227,2,259.68,22.06,completed
